Traditional,Simplified,Pinyin,Meaning
重要,重要,zhòngyào,important
地方,地方,dìfāng,place
進行,进行,jìnxíng,conduct
關係,关系,guānxì,relation
市場,市场,shìchǎng,market
太,太,tài,too
老師,老师,lǎoshī,teacher
提供,提供,tígōng,supply
學校,学校,xuéxiào,School
應該,应该,yīnggāi,should
指出,指出,zhǐchū,point out
經濟,经济,jīngjì,economy
其他,其他,qítā,other
家,家,jiā,Home
發展,发展,fāzhǎn,develop
教育,教育,jiàoyū,educate
成為,成为,chéngwéi,become
多,多,duō,many
非常,非常,fēicháng,Very
便,便,biàn,Convenience
方面,方面,fāngmiàn,aspect
很多,很多,hěnduō,a lot of
吃,吃,chī,eat
然後,然后,ránhòu,Then
未,未,wèi,not yet
發現,发现,fāxiàn,Discover
電腦,电脑,diànnǎo,computer
一樣,一样,yīyàng,Same
而且,而且,érqiě,and
心,心,xīn,Heart
不過,不过,búguò,but
無法,无法,wúfǎ,Unable
企業,企业,qǐyè,enterprise
正,正,zhèng,just
服務,服务,fúwù,Serve
較,较,jiào,compare
不會,不会,búhuì,Won't
臺灣,台湾,táiwān,Taiwan
曾,曾,céng,ever
嗎,吗,mā,?
空間,空间,kōngjiān,space
看到,看到,kàndào,See
五,五,wǔ,five
如何,如何,rúhé,how
國內,国内,guónèi,domestic
們,们,men,them
無,无,wú,none
對於,对于,duìyú,for
以及,以及,yǐjí,as well as
之後,之后,zhīhòu,after
可是,可是,kěshì,But
當,当,dāng,when
人員,人员,rényuán,personnel
比,比,bǐ,Compare
先,先,xiān,First
產品,产品,chǎnpǐn,product
資訊,资讯,zīxùn,Information
資料,资料,zīliào,material
比較,比较,bǐjiào,Compare
先生,先生,xiānshēng,gentlemen
地,地,dì,land
除了,除了,chúle,Apart from
大陸,大陆,dàlù,mainland
需要,需要,xūyào,need
像,像,xiàng,picture
在,在,zài,exist
給,给,gěi,Give
歲,岁,suì,age
請,请,qǐng,please
月,月,yuè,moon
些,些,xiē,some
名,名,míng,name
另,另,lìng,Other
若,若,ruò,like
亦,亦,yì,as well as
地區,地区,dìqū,area
技術,技术,jìshù,technology
至,至,zhì,to
特別,特别,tèbié,special
其實,其实,qíshí,actually
國際,国际,guójì,internationality
不要,不要,búyào,don't want
發生,发生,fāshēng,occur
參加,参加,cānjiā,Participation
一定,一定,yīdìng,must
其中,其中,qízhōng,in
問,问,wèn,ask
台北,台北,táiběi,Taipei
包括,包括,bāokuò,include
講,讲,jiǎng,speak
造成,造成,zàochéng,cause
看,看,kàn,look
像,像,xiàng,picture
常,常,cháng,often
即,即,jí,Right now
喜歡,喜欢,xǐhuān,like
去,去,qù,go
沒,没,méi,without
出現,出现,chūxiàn,Appear
政治,政治,zhèngzhì,politics
話,话,huà,talk
走,走,zǒu,Walk
單位,单位,dānwèi,unit
一直,一直,yīzhí,Always
吧,吧,ba,Bar
是否,是否,shìfǒu,whether
當然,当然,dāngrán,certainly
整,整,zhěng,all
處理,处理,chǔlǐ,deal with
歷史,历史,lìshǐ,history
了解,了解,liǎojiě,learn
那,那,nà,That
怎麼,怎么,zěnme,how
機會,机会,jīhuì,Chance
家,家,jiā,Home
聽,听,tīng,listen
所有,所有,suǒyǒu,all
只要,只要,zhǐyào,if only
朋友,朋友,péngyou,friend
令,令,lìng,make
甚至,甚至,shènzhì,even
用,用,yòng,use
真,真,zhēn,real
六,六,liù,six
呀,呀,ya,ah
情況,情况,qíngkuàng,Condition
還是,还是,háishì,still
錢,钱,qián,money
方法,方法,fāngfǎ,method
點,点,diǎn,point
任何,任何,rènhé,any
經驗,经验,jīngyàn,experience
藝術,艺术,yìshù,Art
你們,你们,nǐmen,you
十,十,shí,ten
主要,主要,zhǔyào,main
媽媽,妈妈,māmā,Mother
增加,增加,zēngjiā,Increase
提出,提出,tíchū,propose
為什麼,为什么,wèishéme,Why
以,以,yǐ,by
您,您,nín,you
計畫,计画,jìhuà,plan
作,作,zuò,do
利用,利用,lìyòng,use
東西,东西,dōngxī,thing
在,在,zài,exist
條,条,tiáo,strip
設計,设计,shèjì,design
找,找,zhǎo,try to find
之間,之间,zhījiān,between
成長,成长,chéngzhǎng,growing up
能夠,能够,nénggòu,can
決定,决定,juédìng,Decide
學習,学习,xuéxí,study
誰,谁,shéi,who
見,见,jiàn,See
半,半,bàn,Half
時代,时代,shídài,era
完成,完成,wánchéng,Finish
帶,带,dài,bring
相當,相当,xiāngdāng,quite
同學,同学,tóngxué,classmate
件,件,jiàn,pieces
能力,能力,nénglì,ability
別人,别人,biérén,other people
生命,生命,shēngmìng,life
下,下,xià,Down
來,来,lái,Come
場,场,cháng,field
會議,会议,huìyì,Meeting
容易,容易,róngyì,easy
開發,开发,kāifā,develop
民眾,民众,mínzhòng,people
事情,事情,shìqíng,matter
書,书,shū,Book
事實,事实,shìshí,fact
有關,有关,yǒuguān,related
自,自,zì,since
組織,组织,zǔzhī,organize
言,言,yán,Word
多,多,duō,many
愛,爱,ài,like
建立,建立,jiànlì,Establish
相關,相关,xiāngguān,Related
均,均,jūn,all
產生,产生,chǎnshēng,produce
多,多,duō,many
業者,业者,yèzhě,industry
解決,解决,jiějué,solve
完全,完全,wánquán,completely
的話,的话,dehuà,words
接受,接受,jiēshòu,accept
知,知,zhī,Know
約,约,yuē,about
一般,一般,yībān,generally
推動,推动,tuīdòng,promote
過程,过程,guòchéng,process
管理,管理,guǎnlǐ,manage
功能,功能,gōngnéng,Function
手,手,shǒu,hand
打,打,dǎ,beat
水,水,shuǐ,water
要求,要求,yāoqiú,Require
小朋友,小朋友,xiǎopéngyǒu,kid
教授,教授,jiàoshòu,professor
難,难,nán,Disaster
我國,我国,wǒguó,our country
告訴,告诉,gàosù,Tell
內容,内容,nèiróng,content
結果,结果,jiéguǒ,result
調查,调查,diàochá,investigation
家庭,家庭,jiātíng,family
成立,成立,chénglì,established
選擇,选择,xuǎnzé,choose
經營,经营,jīngyíng,business
然而,然而,ránér,However
父母,父母,fùmǔ,parents
寫,写,xiě,Write
人類,人类,rénlèi,human
至於,至于,zhìyū,As for
買,买,mǎi,purchase
尤其,尤其,yóuqí,especially
配合,配合,pèihé,Cooperate
進入,进入,jìnrù,Enter
例如,例如,lìrú,For example
得,得,děi,have to
討論,讨论,tǎolùn,discuss
依,依,yī,according to
作品,作品,zuòpǐn,work
情形,情形,qíngxíng,situation
資源,资源,zīyuán,resource
原因,原因,yuányīn,reason
啦,啦,lā,La
妳,妳,nǐ,you
運動,运动,yùndòng,sports
觀念,观念,guānniàn,concept
給,给,gěi,Give
軟體,软体,ruǎntǐ,software
品質,品质,pǐnzhí,quality
經過,经过,jīngguò,go through
如此,如此,rúcǐ,in this way
嗯,嗯,ēn,Um
精神,精神,jīngshén,Spirit
影響,影响,yǐngxiǎng,Influence
之,之,zhī,Of
過,过,guò,Pass
好像,好像,hǎoxiàng,like
成,成,chéng,become
參與,参与,cānyū,participate
以後,以后,yǐhòu,after
於是,于是,yūshì,then
部分,部分,bùfèn,part
另外,另外,lìngwài,in addition
公園,公园,gōngyuán,garden
透過,透过,tòuguò,through
訓練,训练,xùnliàn,train
努力,努力,nǔlì,effort
研究,研究,yánjiù,Research
具有,具有,jùyǒu,have
共同,共同,gòngtóng,common
所謂,所谓,suǒwèi,so-called
下,下,xià,Down
行為,行为,xíngwéi,Behavior
合作,合作,hézuò,cooperate
經,经,jīng,through
合作,合作,hézuò,cooperate
目標,目标,mùbiāo,Target
起來,起来,qǐlái,stand up
考慮,考虑,kǎolù,consider
長,长,cháng,long
意見,意见,yìjiàn,Opinion
辦法,办法,bànfǎ,way
音樂,音乐,yīnyuè,music
連,连,lián,even
受,受,shòu,by
廠商,厂商,chǎngshāng,Manufacturer
隻,只,zhī,Only
受到,受到,shòudào,receive
一切,一切,yīqiè,everything
或是,或是,huòshì,Or
中央,中央,zhōngyāng,central
某,某,mǒu,certain
女性,女性,nǔxìng,woman
教學,教学,jiāoxué,teaching
極,极,jí,pole
獲得,获得,huòdé,get
真的,真的,zhēnde,real
路,路,lù,road
來,来,lái,Come
快,快,kuài,quick
國小,国小,guóxiǎo,Elementary school
部份,部份,bùfèn,part
工程,工程,gōngchéng,project
女人,女人,nǔrén,woman
舉行,举行,jǔxíng,hold
句,句,jù,sentence
只是,只是,zhǐshì,only
段,段,duàn,part
根據,根据,gēnjù,according to
現象,现象,xiànxiàng,Phenomenon
人民,人民,rénmín,people
土地,土地,tǔdì,land
面對,面对,miànduì,face
注意,注意,zhùyì,Notice
這裡,这里,zhèlǐ,here
新聞,新闻,xīnwén,news
繼續,继续,jìxù,continue
相信,相信,xiāngxìn,believe
政策,政策,zhèngcè,policy
變成,变成,biànchéng,become
計劃,计划,jìhuà,plan
強調,强调,qiángdiào,emphasize
學,学,xué,study
人士,人士,rénshì,person
前,前,qián,forward
前,前,qián,forward
存在,存在,cúnzài,exist
制度,制度,zhìdù,system
意義,意义,yìyì,significance
代表,代表,dàibiǎo,represent
課程,课程,kèchéng,course
該,该,gāi,Should
沒,没,méi,without
至,至,zhì,to
需求,需求,xūqiú,need
人生,人生,rénshēng,Life
那些,那些,nǎxiē,Those ones
成功,成功,chénggōng,success
爸爸,爸爸,bàbà,dad
產業,产业,chǎnyè,industry
負責,负责,fùzé,Responsible
民間,民间,mínjiān,folk
雖,虽,suī,although
影響,影响,yǐngxiǎng,Influence
直接,直接,zhíjiē,direct
幾乎,几乎,jīhū,almost
分,分,fèn,point
實際,实际,shíjì,actual
團體,团体,tuántǐ,group
價值,价值,jiàzhí,value
使得,使得,shǐdé,make
類,类,lèi,kind
形成,形成,xíngchéng,form
科技,科技,kējì,science and technology
這麼,这么,zhème,so
當,当,dāng,when
七,七,qī,seven
不但,不但,búdàn,Not only
往,往,wǎng,Past
本身,本身,běnshēn,itself
標準,标准,biāozhǔn,standard
似乎,似乎,sìhū,seem
應用,应用,yìngyòng,application
或者,或者,huòzhě,or
動物,动物,dòngwù,animal
電話,电话,diànhuà,Telephone
態度,态度,tàidù,manner
建設,建设,jiànshè,construction
事業,事业,shìyè,cause
老,老,lǎo,old
那麼,那么,nàmo,So
常常,常常,chángcháng,Frequent
字,字,zì,Character
坐,坐,zuò,sit
舉辦,举办,jǔbàn,hold
自我,自我,zìwǒ,self
有的,有的,yǒude,some
具,具,jù,Tool
目的,目的,mùdì,Purpose
塊,块,kuài,piece
條件,条件,tiáojiàn,condition
即使,即使,jíshǐ,even though
好,好,hǎo,good
十分,十分,shífēn,very
多少,多少,duōshǎo,How many
放,放,fàng,put
又,又,yòu,again
電影,电影,diànyǐng,Movie
科學,科学,kēxué,science
執行,执行,zhíxíng,implement
邊,边,biān,side
委員會,委员会,wěiyuánhuì,committee
溝通,沟通,gōutōng,communicate
開,开,kāi,open
一起,一起,yīqǐ,Together
張,张,zhāng,open
針對,针对,zhēnduì,against
員工,员工,yuángōng,staff
引起,引起,yǐnqǐ,cause
自然,自然,zìrán,nature
那麼,那么,nàmo,So
安全,安全,ānquán,Safety
總統,总统,zǒngtǒng,president
此外,此外,cǐwài,also
擁有,拥有,yǒngyǒu,have
並且,并且,bìngqiě,and
事件,事件,shìjiàn,event
設計,设计,shèjì,design
研究所,研究所,yánjiùsuǒ,graduate School
語言,语言,yǔyán,language
嚴重,严重,yánzhòng,serious
故事,故事,gùshì,story
學術,学术,xuéshù,academic
片,片,piàn,piece
設備,设备,shèbèi,equipment
之外,之外,zhīwài,outside
車,车,chē,car
基本,基本,jīběn,Basic
實在,实在,shízài,really
久,久,jiǔ,Long
套,套,tào,set
達到,达到,dádào,achieve
改善,改善,gǎishàn,improve
死,死,sǐ,die
結構,结构,jiégòu,structure
住,住,zhù,live
皆,皆,jiē,all
改變,改变,gǎibiàn,Change
拿,拿,ná,take
小組,小组,xiǎozǔ,group
支持,支持,zhīchí,support
座,座,zuò,seat
醫院,医院,yīyuàn,Hospital
既,既,jì,now that
僅,仅,jǐn,only
值得,值得,zhíde,worth
學者,学者,xuézhě,scholar
八,八,bā,eight
交通,交通,jiāotōng,transportation
階段,阶段,jiēduàn,stage
就是,就是,jiùshì,that is
申請,申请,shēnqǐng,Apply
主管,主管,zhǔguǎn,director
申請,申请,shēnqǐng,Apply
同,同,tóng,same
感覺,感觉,gǎnjué,Feel
電視,电视,diànshì,television
母親,母亲,mǔqīn,Mother
嘛,嘛,má,Well
香港,香港,xiānggǎng,Hongkong
記者,记者,jìzhě,reporter
壓力,压力,yālì,pressure
快樂,快乐,kuàilè,hapiness
喝,喝,hē,drink
敢,敢,gǎn,dare
院,院,yuàn,hospital
也許,也许,yěxǔ,Maybe
人們,人们,rénmen,people
談,谈,tán,talk
生產,生产,shēngchǎn,Production
怕,怕,pà,Afraid
就,就,jiù,At once
身體,身体,shēntǐ,Body
規定,规定,guīdìng,Regulation
程度,程度,chéngdù,degree
積極,积极,jījí,positive
知識,知识,zhīshì,Knowledge
作為,作为,zuòwéi,as
機構,机构,jīgòu,mechanism
而是,而是,érshì,Rather
鼓勵,鼓励,gǔlì,encourage
角色,角色,jiǎosè,Role
狀況,状况,zhuàngkuàng,situation
專家,专家,zhuānjiā,expert
據,据,jù,according to
清楚,清楚,qīngchǔ,clear
不僅,不仅,bùjǐn,not only
比賽,比赛,bǐsài,Contest
玩,玩,wán,Play
效果,效果,xiàoguǒ,Effect
越,越,yuè,cross
保護,保护,bǎohù,Protect
共,共,gòng,common
開放,开放,kāifàng,open
附近,附近,fùjìn,nearby
上,上,shàng,superior
父親,父亲,fùqīn,Father
專業,专业,zhuānyè,major
經費,经费,jīngfèi,Funding
曾經,曾经,céngjīng,once
工作,工作,gōngzuò,Work
願意,愿意,yuànyì,willing
分別,分别,fēnbié,respectively
重視,重视,zhòngshì,Pay attention to
不少,不少,bùshǎo,Quite a few
歡迎,欢迎,huānyíng,welcome
小孩,小孩,xiǎohái,Child
小時,小时,xiǎoshí,Hour
中國人,中国人,zhōngguórén,Chinese
顯示,显示,xiǎnshì,show
中共,中共,zhōnggòng,Communist Party of China
出,出,chū,out
男人,男人,nánrén,man
避免,避免,bìmiǎn,avoid
屬於,属于,shǔyū,belong
實施,实施,shíshī,implement
聲音,声音,shēngyīn,sound
主義,主义,zhǔyì,doctrine
行動,行动,xíngdòng,action
不可,不可,bùkě,No
只有,只有,zhǐyǒu,only
校園,校园,xiàoyuán,campus
興趣,兴趣,xìngqù,interest
山,山,shān,Mountain
表現,表现,biǎoxiàn,Performance
得,得,dé,have to
回來,回来,huílái,return
主任,主任,zhǔrèn,director
裡面,里面,lǐmiàn,in
經常,经常,jīngcháng,often
不再,不再,búzài,no longer
電子,电子,diànzǐ,electronic
受,受,shòu,by
思想,思想,sīxiǎng,Thought
頭,头,tóu,head
終於,终于,zhōngyū,finally
謝謝,谢谢,xièxiè,Thanks
協助,协助,xiézhù,assist
除,除,chú,remove
當地,当地,dāngdì,local
正式,正式,zhèngshì,formal
真正,真正,zhēnzhèng,real
低,低,dī,Low
性,性,xìng,sex
份,份,fèn,share
因素,因素,yīnsù,factor
推出,推出,tuīchū,roll out
上,上,shàng,superior
價格,价格,jiàgé,price
去,去,qù,go
認識,认识,rènshì,know
方向,方向,fāngxiàng,direction
責任,责任,zérèn,responsibility
說明,说明,shuōmíng,illustrate
工業,工业,gōngyè,industry
大量,大量,dàliàng,A lot
做,做,zuò,Do
逐漸,逐渐,zhújiàn,gradually
心理,心理,xīnlǐ,psychology
一點,一点,yīdiǎn,a little
供,供,gōng,for
須,须,xū,Must
簡單,简单,jiǎndān,Simple
運用,运用,yùnyòng,use
觀察,观察,guānchá,observe
往往,往往,wǎngwǎng,often
規劃,规划,guīhuà,planning
減少,减少,jiǎnshǎo,reduce
重新,重新,chóngxīn,again
業務,业务,yèwù,business
報導,报导,bàodǎo,report
仍然,仍然,réngrán,still
感到,感到,gǎndào,feel
開放,开放,kāifàng,open
領域,领域,lǐngyū,field
有效,有效,yǒuxiào,efficient
女,女,nǔ,female
要,要,yào,want
從事,从事,cóngshì,engage in
發揮,发挥,fāhuī,play
人才,人才,réncái,Talent
反而,反而,fǎnér,instead
行政,行政,xíngzhèng,administrative
銀行,银行,yínháng,bank
公共,公共,gōnggòng,public
媒體,媒体,méitǐ,media
提高,提高,tígāo,improve
代,代,dài,generation
自然,自然,zìrán,nature
社區,社区,shèqū,Community
力量,力量,lìliàng,strength
啊,啊,ā,ah
教育部,教育部,jiàoyūbù,Ministry of Education
愈,愈,yū,heal
超過,超过,chāoguò,Exceed
維持,维持,wéichí,maintain
家長,家长,jiāzhǎng,parents
結合,结合,jiéhé,combine
校長,校长,xiàozhǎng,headmaster
通常,通常,tōngcháng,generally
缺乏,缺乏,quēfá,lack
委員,委员,wěiyuán,member
特色,特色,tèsè,feature
結果,结果,jiéguǒ,result
有時,有时,yǒushí,sometimes
教師,教师,jiàoshī,teacher
之前,之前,zhīqián,Before
遠,远,yuǎn,Far
控制,控制,kòngzhì,control
本,本,běn,book
否則,否则,fǒuzé,otherwise
法,法,fǎ,Law
少,少,shǎo,few
原則,原则,yuánzé,in principle
要,要,yào,want
臉,脸,liǎn,Face
通過,通过,tōngguò,pass
建議,建议,jiànyì,suggestion
工具,工具,gōngjù,tool
作業,作业,zuòyè,Operation
達,达,dá,reach
節目,节目,jiémù,programme
智慧,智慧,zhìhuì,wisdom
來自,来自,láizì,from
而,而,ér,and
變化,变化,biànhuà,change
同樣,同样,tóngyàng,same
形式,形式,xíngshì,form
站,站,zhàn,stand
以為,以为,yǐwéi,Think
健康,健康,jiànkāng,healthy
擔任,担任,dānrèn,serve
人口,人口,rénkǒu,population
規劃,规划,guīhuà,planning
剛,刚,gāng,Just
特殊,特殊,tèshū,special
原來,原来,yuánlái,turn out to be
道,道,dào,road
分,分,fēn,point
傳統,传统,chuántǒng,Tradition
總是,总是,zǒngshì,always
前往,前往,qiánwǎng,Go to
投資,投资,tóuzī,invest
加強,加强,jiāqiáng,strengthen
不斷,不断,búduàn,constantly
對象,对象,duìxiàng,object
追求,追求,zhuīqiú,Pursue
加上,加上,jiāshàng,plus
比,比,bǐ,Compare
思考,思考,sīkǎo,think
製作,制作,zhìzuò,make
台北市,台北市,táiběishì,Taipei City
取得,取得,qǔdé,obtain
出來,出来,chūlái,come out
加入,加入,jiārù,join in
台,台,tái,tower
安排,安排,ānpái,arrange
兒童,儿童,értóng,child
國中,国中,guózhōng,junior high school
範圍,范围,fànwéi,scope
老人,老人,lǎorén,elder
雙方,双方,shuāngfāng,both sides
牠,牠,tā,it
北京,北京,běijīng,Beijing
年輕,年轻,niánqīng,young
結束,结束,jiéshù,Finish
教,教,jiāo,teach
程式,程式,chéngshì,program
婦女,妇女,fùnǔ,women
找到,找到,zhǎodào,turn up
彼此,彼此,bǐcǐ,each other
全球,全球,quánqiú,worldwide
成本,成本,chéngběn,cost
回到,回到,huídào,return to
部,部,bù,department
而已,而已,éryǐ,That's all
之下,之下,zhīxià,under
等,等,děng,wait
變,变,biàn,Change
期間,期间,qíjiān,period
非,非,fēi,No
小姐,小姐,xiǎojiě,Miss
整體,整体,zhěngtǐ,overall
採用,采用,cǎiyòng,use
根本,根本,gēnběn,fundamental
叫,叫,jiào,Call
歐洲,欧洲,ōuzhōu,Europe
正在,正在,zhèngzài,are
加以,加以,jiāyǐ,add
充滿,充满,chōngmǎn,full
系列,系列,xìliè,series
隨著,随着,suízhe,along with
早,早,zǎo,morning
等等,等等,děngděng,etc.
頗,颇,pǒ,quite
不足,不足,bùzú,insufficient
總,总,zǒng,total
分析,分析,fēnxī,analyze
深,深,shēn,deep
報告,报告,bàogào,Report
不錯,不错,búcuò,good
在於,在于,zàiyū,lies in
旁,旁,páng,beside
笑,笑,xiào,lol
故,故,gù,Therefore
消費者,消费者,xiāofèizhě,consumer
意識,意识,yìshì,consciousness
公尺,公尺,gōngchǐ,meter
民族,民族,mínzú,nationality
為主,为主,wéizhǔ,Mainly
大眾,大众,dàzhòng,public
到底,到底,dàodǐ,in the end
願,愿,yuàn,willing
度,度,dù,degree
大概,大概,dàgài,perhaps
對方,对方,duìfāng,other side
官員,官员,guānyuán,official
發表,发表,fābiǎo,publish
進一步,进一步,jìnyībù,further
自由,自由,zìyóu,free
正確,正确,zhèngquè,correct
豐富,丰富,fēngfù,Rich
國民黨,国民党,guómíndǎng,national party
戰爭,战争,zhànzhēng,war
怎麼樣,怎么样,zěnmeyàng,How about it
只好,只好,zhǐhǎo,Had to
明顯,明显,míngxiǎn,obvious
改革,改革,gǎigé,reform
表達,表达,biǎodá,Express
肯定,肯定,kěndìng,affim
強,强,qiáng,powerful
高興,高兴,gāoxìng,Happy
哪,哪,nǎ,where
樹,树,shù,Tree
適合,适合,shìhé,Suitable
茶,茶,chá,Tea
別,别,bié,Don't
國外,国外,guówài,foreign
關心,关心,guānxīn,care
蘇聯,苏联,sūlián,Soviet Union
成績,成绩,chéngjī,score
人物,人物,rénwù,figure
聽到,听到,tīngdào,hear
創造,创造,chuàngzào,create
不必,不必,búbì,No need
不論,不论,búlùn,whether
尚,尚,shàng,still
居民,居民,jūmín,resident
不管,不管,bùguǎn,in spite of
美麗,美丽,měilì,beauty
伊拉克,伊拉克,yīlākè,Iraq
帶來,带来,dàilái,bring
有,有,yǒu,have
般,般,bān,general
永遠,永远,yǒngyuǎn,forever
感情,感情,gǎnqíng,emotion
兒子,儿子,érzi,son
這樣子,这样子,zhèyàngzi,Like this
起,起,qǐ,rise
全部,全部,quánbù,all
